dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
fourty.arff,1.0,0.009541606903076172,fourty.arff,0.9890854854854855,4.184637260437012
twenty.arff,1.0,0.009448957443237305,twenty.arff,0.9767887887887887,4.192482995986938
st900.arff,0.9523841305153875,0.009927988052368164,st900.arff,0.8458880237300704,3.3782426834106447
2d-3c-no123.arff,0.9909110497345791,0.006061983108520508,2d-3c-no123.arff,0.5976023976023976,2.1553433418273924
blobs.arff,0.9486287625418062,0.0020823001861572264,blobs.arff,0.7318394648829432,0.39955458641052244
target.arff,0.5667674328272507,0.006499958038330078,target.arff,0.6080387752689443,2.49212532043457
dartboard2.arff,0.6106466466466467,0.009363555908203125,dartboard2.arff,0.750008008008008,4.177787923812867
spiral.arff,0.511063063063063,0.009643745422363282,spiral.arff,1.0,4.138831758499146
R15.arff,0.998692264885921,0.0043392181396484375,R15.arff,0.9617250973845298,1.5358403682708741
disk-4500n.arff,0.5006713590674471,0.2809177875518799,disk-4500n.arff,0.565505914894668,83.36047949790955
pmf.arff,0.9850815119176701,0.006227016448974609,pmf.arff,0.9358652437748483,1.9369417190551759
aml28.arff,0.9821007044478727,0.008818817138671876,aml28.arff,0.7254357106125661,2.7597079277038574
diamond9.arff,0.9994104701567188,0.07675466537475586,diamond9.arff,0.8702858730688007,37.64879412651062
donut1.arff,0.5513933933933934,0.010128021240234375,donut1.arff,0.5107607607607607,4.208163022994995
sizes1.arff,0.9742042042042043,0.010271072387695312,sizes1.arff,0.7345845845845845,4.215968179702759
hypercube.arff,1.0,0.0069277286529541016,hypercube.arff,1.0,2.8607569217681883
ds2c2sc13.arff,0.9149979227253843,0.003971672058105469,ds2c2sc13.arff,0.9180900943676182,1.447314405441284
long2.arff,0.5150030030030031,0.010665702819824218,long2.arff,0.5076996996996997,4.194688224792481
complex8.arff,0.8358330835274133,0.08136591911315919,complex8.arff,0.7784521256562209,26.670450496673585
square1.arff,0.9744684684684686,0.011303424835205078,square1.arff,0.6802062062062062,4.217348527908325
