dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
fourty.arff,1.0,0.009321212768554688,fourty.arff,1.0,2.446401357650757
twenty.arff,0.9998018018018018,0.009441375732421875,twenty.arff,0.9998018018018018,2.45233416557312
st900.arff,0.9243702879742924,0.009633302688598633,st900.arff,0.9243702879742924,2.002084493637085
2d-3c-no123.arff,0.816983016983017,0.005898952484130859,2d-3c-no123.arff,0.816983016983017,1.2922594547271729
blobs.arff,0.9325529542920847,0.0020122528076171875,blobs.arff,0.9325529542920847,0.2581942081451416
target.arff,0.5991522131964264,0.006035804748535156,target.arff,0.5991522131964264,1.500826358795166
dartboard2.arff,0.6296376376376377,0.009814739227294922,dartboard2.arff,0.6296376376376377,2.4760334491729736
spiral.arff,0.5087567567567568,0.009902477264404297,spiral.arff,0.5087567567567568,2.4935526847839355
R15.arff,0.997384529771842,0.004195451736450195,R15.arff,0.997384529771842,0.9216921329498291
pmf.arff,0.9082539139036314,0.005869388580322266,pmf.arff,0.9082539139036314,1.1806464195251465
aml28.arff,0.9821007044478727,0.007933855056762695,aml28.arff,0.9821007044478727,1.6270804405212402
donut1.arff,0.6422202202202202,0.009421110153198242,donut1.arff,0.7045045045045045,2.494494915008545
sizes1.arff,0.8341921921921922,0.010319948196411133,sizes1.arff,0.8341921921921922,2.472036123275757
hypercube.arff,1.0,0.006541252136230469,hypercube.arff,1.0,1.7223210334777832
ds2c2sc13.arff,0.9202623301086118,0.0038650035858154297,ds2c2sc13.arff,0.9207371357350584,0.8461298942565918
long2.arff,0.4994994994994995,0.00979161262512207,long2.arff,0.4994994994994995,2.4515116214752197
square1.arff,0.9335735735735736,0.010271310806274414,square1.arff,0.9335735735735736,2.461122512817383
