dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
fourty.arff,1.0,0.016469478607177734,fourty.arff,0.4401041041041041,4.7793660163879395
twenty.arff,1.0,0.015419960021972656,twenty.arff,0.270988988988989,4.855661153793335
st900.arff,0.9464615004325794,0.012473583221435547,st900.arff,0.19623532319861575,3.8522515296936035
2d-3c-no123.arff,0.9897592603474956,0.006766796112060547,2d-3c-no123.arff,0.47215921333568395,2.453144073486328
blobs.arff,0.9242809364548495,0.002424001693725586,blobs.arff,0.4622742474916388,0.4398214817047119
target.arff,0.8214479928394103,0.007163286209106445,target.arff,0.5130191005353554,2.8454079627990723
dartboard2.arff,0.6466826826826827,0.011970996856689453,dartboard2.arff,0.30671471471471473,4.752078294754028
spiral.arff,0.5643643643643643,0.01495218276977539,spiral.arff,0.7885885885885886,4.753527879714966
R15.arff,0.9978074568725653,0.005915403366088867,R15.arff,0.5404841402337228,1.7211933135986328
disk-4500n.arff,0.5003323207626386,0.32172155380249023,disk-4500n.arff,0.5806194956904004,98.53062009811401
pmf.arff,0.9103511575262988,0.007253408432006836,pmf.arff,0.6012906846240179,2.1506781578063965
aml28.arff,0.9980235807265044,0.010061502456665039,aml28.arff,0.5111646004101534,3.245753288269043
diamond9.arff,0.9992641991775036,0.1165015697479248,diamond9.arff,0.1721356007558075,43.401673555374146
donut1.arff,0.5513933933933934,0.011932849884033203,donut1.arff,0.5027027027027027,4.95630407333374
sizes1.arff,0.9802962962962963,0.011885881423950195,sizes1.arff,0.5706886886886887,4.788914680480957
hypercube.arff,1.0,0.008267879486083984,hypercube.arff,0.541066958698373,3.2387428283691406
ds2c2sc13.arff,0.9221437474034068,0.0047152042388916016,ds2c2sc13.arff,0.7256691791797732,1.613434076309204
long2.arff,0.5179499499499499,0.011456489562988281,long2.arff,0.5224204204204205,5.18964147567749
complex8.arff,0.8385245309413456,0.12046289443969727,complex8.arff,0.1727937525460988,31.110958576202393
square1.arff,0.9735035035035035,0.01235342025756836,square1.arff,0.5877197197197197,4.819144010543823
