dataset_name,agglomerative_clustering_rand_score,dataset_name2,cure_clustering_rand_score
curves1.arff,1.0,curves1.arff,1.0
xor.arff,0.6851731731731732,xor.arff,0.5066286286286287
tetra.arff,0.9877819548872181,tetra.arff,1.0
square3.arff,0.9372192192192192,square3.arff,0.7903003003003003
fourty.arff,1.0,fourty.arff,1.0
twenty.arff,1.0,twenty.arff,1.0
sizes2.arff,0.983921921921922,sizes2.arff,0.8255875875875875
spherical_5_2.arff,0.961574297188755,spherical_5_2.arff,0.969574297188755
smile3.arff,0.6936896896896897,smile3.arff,0.6922622622622623
cluto-t4-8k.arff,0.8661596762095262,cluto-t4-8k.arff,0.7693833916739592
chainlink.arff,0.6400900900900901,chainlink.arff,0.6017537537537537
curves2.arff,0.5164444444444445,curves2.arff,0.5421741741741741
cure-t1-2000n-2D.arff,0.8215972986493246,cure-t1-2000n-2D.arff,0.9453306653326663
disk-3000n.arff,0.5030343447815938,disk-3000n.arff,0.5001713904634878
elliptical_10_2.arff,0.9992064128256513,elliptical_10_2.arff,0.9992064128256513
disk-1000n.arff,0.5016796796796796,disk-1000n.arff,0.5283283283283283
st900.arff,0.9464615004325794,st900.arff,0.9310072920528982
cure-t2-4k.arff,0.8249805509248234,cure-t2-4k.arff,0.9649846335295251
2sp2glob.arff,0.8911455727863932,2sp2glob.arff,0.874687843921961
triangle1.arff,1.0,triangle1.arff,1.0
twodiamonds.arff,1.0,twodiamonds.arff,0.9975
2d-10c.arff,1.0,2d-10c.arff,0.9643016590374294
threenorm.arff,0.6063283283283283,threenorm.arff,0.4995015015015015
cuboids.arff,1.0,cuboids.arff,1.0
square5.arff,0.8558698698698699,square5.arff,0.2603883883883884
disk-4000n.arff,0.5027636909227307,disk-4000n.arff,0.5040621405351338
ds3c3sc6.arff,0.773040629736469,ds3c3sc6.arff,0.8164596880653205
spiralsquare.arff,0.8055628196575495,spiralsquare.arff,0.7766359795419169
donut3.arff,0.7622773073674878,donut3.arff,0.7451539716068775
2d-3c-no123.arff,0.9897592603474956,2d-3c-no123.arff,0.9066815537403773
elly-2d10c13s.arff,0.8636055596929936,elly-2d10c13s.arff,0.7244676140973176
blobs.arff,0.9242809364548495,blobs.arff,0.7639910813823857
zelnik6.arff,0.8315072864588874,zelnik6.arff,0.8205510052122115
3MC.arff,1.0,3MC.arff,1.0
zelnik1.arff,0.5764629301250253,zelnik1.arff,0.5170254315279118
target.arff,0.8214479928394103,target.arff,0.5719149511087093
cluto-t8-8k.arff,0.8411371421427678,cluto-t8-8k.arff,0.8635566008251031
smile2.arff,0.7504164164164164,smile2.arff,0.8152492492492492
hepta.arff,1.0,hepta.arff,1.0
smile1.arff,0.8289089089089089,smile1.arff,0.8483383383383384
dartboard1.arff,0.6036296296296296,dartboard1.arff,0.6296716716716717
triangle2.arff,0.9854034034034034,triangle2.arff,0.9447607607607608
donutcurves.arff,0.785985985985986,donutcurves.arff,0.7762502502502503
wingnut.arff,0.8005740661727628,wingnut.arff,1.0
zelnik2.arff,0.7375035516796713,zelnik2.arff,0.3835814044980657
longsquare.arff,0.9501792114695341,longsquare.arff,0.885064886911383
cassini.arff,1.0,cassini.arff,1.0
