dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
fourty.arff,0.9974014014014013,0.004922819137573242,fourty.arff,0.9974014014014013,4.344913911819458
twenty.arff,1.0,0.005220174789428711,twenty.arff,1.0,4.32200140953064
st900.arff,0.131350883697936,0.004494714736938477,st900.arff,0.131350883697936,3.5343575477600098
2d-3c-no123.arff,0.41903978374566614,0.0031826019287109373,2d-3c-no123.arff,0.41903978374566614,2.281629800796509
blobs.arff,0.3356298773690078,0.0016904830932617187,blobs.arff,0.3356298773690078,0.41634345054626465
target.arff,1.0,0.003545188903808594,target.arff,1.0,2.591862201690674
dartboard2.arff,1.0,0.004125070571899414,dartboard2.arff,1.0,4.333618831634522
spiral.arff,1.0,0.0041163921356201175,spiral.arff,1.0,4.34941029548645
R15.arff,0.9109849749582638,0.002362680435180664,R15.arff,0.9109849749582638,1.7389793872833252
disk-4500n.arff,0.5793740831295844,0.06768693923950195,disk-4500n.arff,0.5793740831295844,86.41658873558045
pmf.arff,0.854419905267363,0.003060436248779297,pmf.arff,0.854419905267363,1.9837594032287598
aml28.arff,0.9871749595732421,0.004008674621582031,aml28.arff,0.9871749595732421,2.8519219398498534
diamond9.arff,0.9008845170612426,0.024055862426757814,diamond9.arff,0.9008845170612426,38.935470533370975
donut1.arff,1.0,0.004349470138549805,donut1.arff,1.0,4.31511378288269
sizes1.arff,0.2832852852852853,0.00471348762512207,sizes1.arff,0.2832852852852853,4.423417663574218
hypercube.arff,1.0,0.0036664485931396486,hypercube.arff,1.0,2.8914104461669923
ds2c2sc13.arff,0.9643302273131937,0.0023296833038330077,ds2c2sc13.arff,0.9643302273131937,1.4773882389068604
long2.arff,1.0,0.00485992431640625,long2.arff,1.0,4.317492389678955
complex8.arff,0.9284097739448584,0.017879533767700195,complex8.arff,0.9284097739448584,27.983586025238036
square1.arff,0.25225625625625625,0.004717254638671875,square1.arff,0.25225625625625625,4.376565599441529
