dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
glass.arff,0.3006466471786695,0.001375102996826172,glass.arff,0.3006466471786695,0.16779069900512694
ecoli.arff,0.33015280739161335,0.0017203330993652345,ecoli.arff,0.33015280739161335,0.3521867752075195
vowel.arff,0.6546741428440114,0.00759124755859375,vowel.arff,0.6546741428440114,4.130668354034424
dermatology.arff,0.21539037353095294,0.0038734912872314454,dermatology.arff,0.21539037353095294,1.207643461227417
vehicle.arff,0.25928910151496076,0.007861900329589843,vehicle.arff,0.25928910151496076,3.8768899917602537
wisc.arff,0.49920058343384477,0.002360105514526367,wisc.arff,0.49920058343384477,0.7468025207519531
zoo.arff,0.7516072472238458,0.0010711193084716798,zoo.arff,0.6721215663354764,0.023079109191894532
iris.arff,0.7718758736371261,0.0011686325073242188,iris.arff,0.7718758736371261,0.06219749450683594
thy.arff,0.5441425777004999,0.0013315200805664063,thy.arff,0.5441425777004999,0.13201894760131835
sonar.arff,0.5005574136008919,0.002408123016357422,sonar.arff,0.5005574136008919,0.6546444892883301
heart-statlog.arff,0.5035384827206388,0.0017035484313964843,heart-statlog.arff,0.5035384827206388,0.3283082962036133
iono.arff,0.5411543184609087,0.0032737255096435547,iono.arff,0.5411543184609087,1.1069653987884522
