dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
fourty.arff,1.0,0.00691533088684082,fourty.arff,1.0,2.4491405487060547
twenty.arff,1.0,0.0048236846923828125,twenty.arff,1.0,2.4792826175689697
st900.arff,0.12983561982449635,0.005008697509765625,st900.arff,0.12983561982449635,2.0244524478912354
2d-3c-no123.arff,0.42048147930500873,0.0036635398864746094,2d-3c-no123.arff,0.42048147930500873,1.2851955890655518
blobs.arff,0.3356298773690078,0.0016705989837646484,blobs.arff,0.3356298773690078,0.24428796768188477
target.arff,1.0,0.0038902759552001953,target.arff,1.0,1.5663259029388428
dartboard2.arff,1.0,0.004616737365722656,dartboard2.arff,1.0,2.5083632469177246
spiral.arff,1.0,0.0044841766357421875,spiral.arff,1.0,2.5231473445892334
R15.arff,0.9097161936560935,0.002668619155883789,R15.arff,0.9097161936560935,0.9811854362487793
pmf.arff,0.9830888926934125,0.0033125877380371094,pmf.arff,0.9830888926934125,1.2289559841156006
aml28.arff,0.985164464105376,0.004151105880737305,aml28.arff,0.985164464105376,1.6527323722839355
donut1.arff,1.0,0.004905223846435547,donut1.arff,1.0,2.5321590900421143
sizes1.arff,0.2832852852852853,0.00508427619934082,sizes1.arff,0.2832852852852853,2.565284013748169
hypercube.arff,1.0,0.003668546676635742,hypercube.arff,1.0,1.7846877574920654
ds2c2sc13.arff,0.9584188972639326,0.0026357173919677734,ds2c2sc13.arff,0.9584188972639326,0.8709337711334229
long2.arff,1.0,0.005339145660400391,long2.arff,1.0,2.5183799266815186
square1.arff,0.25225625625625625,0.005017518997192383,square1.arff,0.25225625625625625,2.4877023696899414
